"","Site","GenusSpecies"
"3","Alapaha","Ilex glabra"
"4","Alapaha","Serenoa repens"
"5","Alapaha","Pteridium aquilinum"
"6","Alapaha","Gaylussacia dumosa"
"7","Alapaha","Lyonia lucida"
"8","Alapaha","Lyonia mariana"
"9","Alapaha","Vaccinium myrsinites"
"10","Alapaha","Lyonia fruticosa"
"11","Alapaha","Rhexia lutea"
"12","Alapaha","Morella cerifera"
"13","Alapaha","Pinus elliottii"
"14","Alapaha","Aristida stricta"
"15","Alapaha","Sporobolus curtissii"
"16","Alapaha","Andropogon virginicus"
"17","Alapaha","Ctenium aromaticum"
"18","Alapaha","Prunus virginiana"
"19","Alapaha","Acer rubrum"
"20","Alapaha","Smilax laurifolia"
"21","Alapaha","Symplocos tinctoria"
"22","Alapaha","Quercus NA"
"52","Alapaha","Quercus pumila"
"54","Alapaha","Rhexia mariana"
"57","Alapaha","Lyonia NA"
"78","Alapaha","Pityopsis graminifolia"
"79","Alapaha","Carphephorus odoratissimus"
"80","Alapaha","Helianthus radula"
"81","Alapaha","Elephantopus elatus"
"82","Alapaha","Erigeron canadensis"
"83","Alapaha","Pterocaulon virgatum"
"87","Alapaha","Eriocaulon lineare"
"88","Alapaha","Sabatia brevifolia"
"89","Alapaha","Tephrosia virginiana"
"98","Alapaha","Sorghastrum secundum"
"99","Alapaha","Schizachyrium scoparium"
"100","Alapaha","Schizachyrium tenerum"
"101","Alapaha","Rubus cuneifolius"
"105","Alapaha","Eupatorium NA"
"107","Alapaha","Panicum NA"
"141","Alapaha","Bigelowia nudata"
"147","Alapaha","Lachnocaulon anceps"
"148","Alapaha","Persea borbonia"
"153","Alapaha","Sporobolus floridanus"
"155","Alapaha","Panicum virgatum"
"157","Alapaha","Sarracenia flava"
"202","Alapaha","Pityopsis aspera"
"207","Alapaha","Nyssa sylvatica"
"215","Alapaha","Tragia urens"
"216","Alapaha","Chamaecrista nictitans"
"217","Alapaha","Baptisia tinctoria"
"218","Alapaha","Desmodium ciliare"
"230","Alapaha","Aristida purpurascens"
"233","Alapaha","Liatris NA"
"237","Alapaha","Sapindus NA"
"238","Alapaha","Scutellaria NA"
"239","Alapaha","Solidago NA"
"240","Alapaha","Vitis NA"
"301","Alapaha","Vaccinium corymbosum"
"308","Alapaha","Seymeria cassioides"
"315","Alapaha","Dactyloctenium aegyptium"
"321","Alapaha","Iris NA"
"322","Alapaha","Lycopodium NA"
"325","Alapaha","Sarracenia NA"
"361","Alapaha","Rhus copallinum"
"376","Alapaha","Hypericum mutilum"
"378","Alapaha","Rhynchosia reniformis"
"388","Alapaha","Eragrostis refracta"
"390","Alapaha","Andropogon ternarius"
"395","Alapaha","Asclepias NA"
"438","Alapaha","Ilex myrtifolia"
"2863","ChimneySpring","Chenopodium incisum"
"2865","ChimneySpring","Echeandia flavescens"
"2866","ChimneySpring","Solidago velutina"
"2867","ChimneySpring","Cirsium wheeleri"
"2870","ChimneySpring","Pseudognaphalium macounii"
"2872","ChimneySpring","Artemisia ludoviciana"
"2873","ChimneySpring","Laennecia schiedeana"
"2874","ChimneySpring","Packera multilobata"
"2875","ChimneySpring","Carex occidentalis"
"2877","ChimneySpring","Iris missouriensis"
"2878","ChimneySpring","Ottleya wrightii"
"2879","ChimneySpring","Lupinus argenteus"
"2882","ChimneySpring","Oxytropis lambertii"
"2883","ChimneySpring","Trifolium longipes"
"2884","ChimneySpring","Vicia americana"
"2887","ChimneySpring","Pinus ponderosa"
"2889","ChimneySpring","Linaria dalmatica"
"2890","ChimneySpring","Muhlenbergia montana"
"2891","ChimneySpring","Festuca arizonica"
"2893","ChimneySpring","Elymus elymoides"
"2896","ChimneySpring","Poa fendleriana"
"2898","ChimneySpring","Muhlenbergia ramulosa"
"2899","ChimneySpring","Polygonum douglasii"
"2900","ChimneySpring","Ceanothus fendleri"
"2902","ChimneySpring","Rosa woodsii"
"2903","ChimneySpring","Unidentified species"
"2908","ChimneySpring","Cymopterus lemmonii"
"2931","ChimneySpring","Thalictrum fendleri"
"2945","ChimneySpring","Antennaria parvifolia"
"2949","ChimneySpring","Achillea millefolium"
"2951","ChimneySpring","Erigeron divergens"
"2954","ChimneySpring","Ipomoea plummerae"
"2957","ChimneySpring","Cyperus fendlerianus"
"2962","ChimneySpring","Astragalus humistratus"
"2964","ChimneySpring","Epilobium brachycarpum"
"2969","ChimneySpring","Penstemon virgatus"
"2980","ChimneySpring","Bromus ciliatus"
"2981","ChimneySpring","Blepharoneuron tricholepis"
"2983","ChimneySpring","Eriogonum racemosum"
"2993","ChimneySpring","Drymaria leptophylla"
"3028","ChimneySpring","Potentilla diversifolia"
"3030","ChimneySpring","Houstonia wrightii"
"3039","ChimneySpring","Nama dichotoma"
"3041","ChimneySpring","Arenaria lanuginosa"
"3050","ChimneySpring","Hieracium fendleri"
"3052","ChimneySpring","Symphyotrichum falcatum"
"3058","ChimneySpring","Senecio eremophilus"
"3059","ChimneySpring","Taraxacum campylodes"
"3062","ChimneySpring","Euphorbia serpyllifolia"
"3063","ChimneySpring","Geranium caespitosum"
"3088","ChimneySpring","Muhlenbergia wrightii"
"3092","ChimneySpring","Potentilla crinita"
"3096","ChimneySpring","Verbascum thapsus"
"3097","ChimneySpring","Erigeron NA"
"3102","ChimneySpring","Chenopodium fremontii"
"3125","ChimneySpring","Senecio actinella"
"3173","ChimneySpring","Lithospermum multiflorum"
"3174","ChimneySpring","Pennellia longifolia"
"3185","ChimneySpring","Heliomeris multiflora"
"3218","ChimneySpring","Chondrosum gracile"
"3261","ChimneySpring","Tragia ramosa"
"3310","ChimneySpring","Heterotheca villosa"
"3328","ChimneySpring","Linum australe"
"3404","ChimneySpring","Poa pratensis"
"3432","ChimneySpring","Erigeron flagellaris"
"3436","ChimneySpring","Antennaria rosulata"
"3502","ChimneySpring","Hymenoxys bigelovii"
"3508","ChimneySpring","Cologania angustifolia"
"3553","ChimneySpring","Lupinus kingii"
"3655","ChimneySpring","Amauriopsis dissecta"
"3677","ChimneySpring","Oxalis caerulea"
"3697","ChimneySpring","Koeleria macrantha"
"3780","ChimneySpring","Tragopogon dubius"
"4001","ChimneySpring","Geum triflorum"
"10246","JosephJones","Dyschoriste oblongifolia"
"10247","JosephJones","Ruellia caroliniensis"
"10248","JosephJones","Toxicodendron pubescens"
"10249","JosephJones","Rhus copallinum"
"10250","JosephJones","Toxicodendron radicans"
"10251","JosephJones","Asimina angustifolia"
"10252","JosephJones","Eryngium yuccifolium"
"10253","JosephJones","Asclepias michauxii"
"10254","JosephJones","Asclepias amplexicaulis"
"10255","JosephJones","Asclepias verticillata"
"10256","JosephJones","Ilex glabra"
"10257","JosephJones","Serenoa repens"
"10258","JosephJones","Aristolochia serpentaria"
"10259","JosephJones","Lithospermum caroliniense"
"10260","JosephJones","Opuntia humifusa"
"10261","JosephJones","Lonicera japonica"
"10262","JosephJones","Paronychia rugelii"
"10263","JosephJones","Stipulicida setacea"
"10264","JosephJones","Licania michauxii"
"10265","JosephJones","Lechea minor"
"10266","JosephJones","Helianthemum carolinianum"
"10267","JosephJones","Helianthemum rosmarinifolium"
"10268","JosephJones","Commelina erecta"
"10269","JosephJones","Tradescantia hirsutiflora"
"10270","JosephJones","Pityopsis graminifolia"
"10271","JosephJones","Vernonia angustifolia"
"10272","JosephJones","Symphyotrichum concolor"
"10273","JosephJones","Solidago odora"
"10274","JosephJones","Symphyotrichum adnatum"
"10275","JosephJones","Chrysopsis mariana"
"10276","JosephJones","Symphyotrichum dumosum"
"10277","JosephJones","Eupatorium compositifolium"
"10278","JosephJones","Sericocarpus tortifolius"
"10279","JosephJones","Eupatorium hyssopifolium"
"10281","JosephJones","Liatris tenuifolia"
"10282","JosephJones","Solidago tortifolia"
"10283","JosephJones","Elephantopus elatus"
"10284","JosephJones","Hieracium gronovii"
"10285","JosephJones","Helianthus radula"
"10286","JosephJones","Carphephorus odoratissimus"
"10287","JosephJones","Erechtites hieraciifolius"
"10288","JosephJones","Liatris pilosa"
"10289","JosephJones","Pterocaulon pycnostachyum"
"10290","JosephJones","Rudbeckia hirta"
"10291","JosephJones","Helianthus angustifolius"
"10292","JosephJones","Ionactis linariifolia"
"10293","JosephJones","Lygodesmia aphylla"
"10294","JosephJones","Ageratina aromatica"
"10295","JosephJones","Erigeron canadensis"
"10296","JosephJones","Pseudognaphalium obtusifolium"
"10297","JosephJones","Solidago stricta"
"10298","JosephJones","Ambrosia artemisiifolia"
"10299","JosephJones","Brickellia eupatorioides"
"10300","JosephJones","Cirsium horridulum"
"10301","JosephJones","Erigeron strigosus"
"10302","JosephJones","Eupatorium album"
"10303","JosephJones","Lactuca canadensis"
"10304","JosephJones","Stylisma humistrata"
"10305","JosephJones","Ipomoea pandurata"
"10306","JosephJones","Rhynchospora harveyi"
"10307","JosephJones","Scleria ciliata"
"10308","JosephJones","Bulbostylis ciliatifolia"
"10309","JosephJones","Cyperus filiculmis"
"10310","JosephJones","Cyperus plukenetii"
"10311","JosephJones","Pteridium aquilinum"
"10312","JosephJones","Diospyros virginiana"
"10313","JosephJones","Gaylussacia dumosa"
"10314","JosephJones","Vaccinium myrsinites"
"10315","JosephJones","Vaccinium arboreum"
"10316","JosephJones","Vaccinium stamineum"
"10317","JosephJones","Gaylussacia frondosa"
"10318","JosephJones","Vaccinium corymbosum"
"10319","JosephJones","Tragia urens"
"10320","JosephJones","Croton argyranthemus"
"10321","JosephJones","Euphorbia pubentissima"
"10322","JosephJones","Acalypha gracilens"
"10323","JosephJones","Cnidoscolus urens"
"10324","JosephJones","Stillingia sylvatica"
"10325","JosephJones","Tragia smallii"
"10326","JosephJones","Quercus laevis"
"10327","JosephJones","Quercus virginiana"
"10328","JosephJones","Quercus margarettae"
"10329","JosephJones","Quercus laurifolia"
"10330","JosephJones","Quercus incana"
"10331","JosephJones","Quercus falcata"
"10332","JosephJones","Quercus geminata"
"10333","JosephJones","Quercus nigra"
"10334","JosephJones","Gelsemium sempervirens"
"10335","JosephJones","Hypericum hypericoides"
"10336","JosephJones","Hypericum gentianoides"
"10337","JosephJones","Hypericum mutilum"
"10338","JosephJones","Hypericum suffruticosum"
"10339","JosephJones","Hypoxis wrightii"
"10340","JosephJones","Sisyrinchium xerophyllum"
"10341","JosephJones","Carya glabra"
"10342","JosephJones","Dicerandra linearifolia"
"10343","JosephJones","Scutellaria integrifolia"
"10344","JosephJones","Trichostema setaceum"
"10345","JosephJones","Sassafras albidum"
"10346","JosephJones","Clitoria mariana"
"10347","JosephJones","Mimosa quadrivalvis"
"10348","JosephJones","Rhynchosia reniformis"
"10349","JosephJones","Galactia regularis"
"10350","JosephJones","Stylosanthes biflora"
"10351","JosephJones","Chamaecrista nictitans"
"10352","JosephJones","Galactia erecta"
"10353","JosephJones","Galactia mollis"
"10354","JosephJones","Lespedeza repens"
"10355","JosephJones","Crotalaria rotundifolia"
"10356","JosephJones","Strophostyles umbellata"
"10357","JosephJones","Tephrosia florida"
"10358","JosephJones","Centrosema virginianum"
"10359","JosephJones","Lespedeza angustifolia"
"10360","JosephJones","Crotalaria purshii"
"10361","JosephJones","Desmodium lineatum"
"10362","JosephJones","Desmodium floridanum"
"10363","JosephJones","Desmodium marilandicum"
"10364","JosephJones","Desmodium strictum"
"10365","JosephJones","Orbexilum lupinellum"
"10366","JosephJones","Lespedeza procumbens"
"10367","JosephJones","Tephrosia virginiana"
"10368","JosephJones","Dalea carnea"
"10369","JosephJones","Desmodium viridiflorum"
"10370","JosephJones","Lespedeza virginica"
"10371","JosephJones","Linum floridanum"
"10372","JosephJones","Rhexia alifanus"
"10373","JosephJones","Morella cerifera"
"10374","JosephJones",NA
"10375","JosephJones","Gaura filipes"
"10376","JosephJones","Habenaria quinqueseta"
"10377","JosephJones","Seymeria cassioides"
"10378","JosephJones","Piriqueta cistoides"
"10379","JosephJones","Passiflora edulis"
"10380","JosephJones","Pinus palustris"
"10381","JosephJones","Pinus elliottii"
"10382","JosephJones","Penstemon australis"
"10383","JosephJones","Aristida stricta"
"10384","JosephJones","Andropogon virginicus"
"10385","JosephJones","Muhlenbergia capillaris"
"10386","JosephJones","Panicum aciculare"
"10387","JosephJones","Panicum virgatum"
"10388","JosephJones","Sorghastrum secundum"
"10389","JosephJones","Schizachyrium tenerum"
"10390","JosephJones","Panicum ovale"
"10391","JosephJones","Anthaenantia villosa"
"10392","JosephJones","Sorghastrum nutans"
"10393","JosephJones","Sporobolus compositus"
"10394","JosephJones","Triplasis americana"
"10395","JosephJones","Aristida purpurascens"
"10396","JosephJones","Panicum dichotomum"
"10397","JosephJones","Paspalum setaceum"
"10398","JosephJones","Sporobolus floridanus"
"10399","JosephJones","Sporobolus junceus"
"10400","JosephJones","Eragrostis spectabilis"
"10401","JosephJones","Panicum strigosum"
"10402","JosephJones","Eustachys floridana"
"10403","JosephJones","Panicum acuminatum"
"10404","JosephJones","Panicum sphaerocarpon"
"10405","JosephJones","Paspalum bifidum"
"10406","JosephJones","Paspalum floridanum"
"10407","JosephJones","Elionurus tripsacoides"
"10408","JosephJones","Gymnopogon ambiguus"
"10409","JosephJones","Saccharum alopecuroides"
"10410","JosephJones","Phlox floridana"
"10411","JosephJones","Polygala nana"
"10412","JosephJones","Polygala grandiflora"
"10413","JosephJones","Eriogonum tomentosum"
"10414","JosephJones","Polygonella gracilis"
"10415","JosephJones","Rubus cuneifolius"
"10416","JosephJones","Prunus serotina"
"10417","JosephJones","Crataegus flava"
"10418","JosephJones","Prunus caroliniana"
"10419","JosephJones","Prunus umbellata"
"10420","JosephJones","Rubus flagellaris"
"10421","JosephJones","Prunus americana"
"10422","JosephJones","Prunus angustifolia"
"10423","JosephJones","Rubus trivialis"
"10424","JosephJones","Houstonia procumbens"
"10425","JosephJones","Galium pilosum"
"10426","JosephJones","Houstonia pusilla"
"10427","JosephJones","Diodella teres"
"10428","JosephJones","Sideroxylon lanuginosum"
"10429","JosephJones","Smilax auriculata"
"10430","JosephJones","Smilax maritima"
"10431","JosephJones","Smilax bona-nox"
"10432","JosephJones","Smilax glauca"
"10433","JosephJones","Smilax pumila"
"10434","JosephJones","Physalis heterophylla"
"10435","JosephJones","Physalis walteri"
"10436","JosephJones","Polypremum procumbens"
"10437","JosephJones","Verbena carnea"
"10438","JosephJones","Viola villosa"
"10439","JosephJones","Viola palmata"
"10440","JosephJones","Vitis rotundifolia"
"10441","JosephJones","Parthenocissus quinquefolia"
"10442","JosephJones","Vitis cinerea"
"10443","JosephJones","Agrimonia NA"
"10451","JosephJones","Asclepias tuberosa"
"10453","JosephJones","Onosmodium virginianum"
"10482","JosephJones","Eupatorium semiserratum"
"10488","JosephJones","Chrysopsis gossypina"
"10489","JosephJones","Liatris elegans"
"10511","JosephJones","Tragia urticifolia"
"10512","JosephJones","Euphorbia cordifolia"
"10513","JosephJones","Croton glandulosus"
"10545","JosephJones","Zornia bracteata"
"10549","JosephJones","Desmodium rigidum"
"10550","JosephJones","Dalea pinnata"
"10552","JosephJones","Desmodium laevigatum"
"10559","JosephJones","Agalinis obtusifolia"
"10584","JosephJones","Panicum portoricense"
"10585","JosephJones","Tridens carolinianus"
"10587","JosephJones","Panicum ensifolium"
"10591","JosephJones","Polygala incarnata"
"54329","Limestone","Cymopterus lemmonii"
"54331","Limestone","Antennaria marginata"
"54332","Limestone","Antennaria parvifolia"
"54333","Limestone","Hieracium fendleri"
"54334","Limestone","Solidago velutina"
"54338","Limestone","Senecio actinella"
"54340","Limestone","Carex occidentalis"
"54342","Limestone","Quercus gambelii"
"54343","Limestone","Ottleya wrightii"
"54345","Limestone","Malaxis macrostachya"
"54349","Limestone","Pinus ponderosa"
"54351","Limestone","Festuca arizonica"
"54353","Limestone","Muhlenbergia montana"
"54355","Limestone","Koeleria macrantha"
"54356","Limestone","Elymus elymoides"
"54359","Limestone","Poa fendleriana"
"54360","Limestone","Ceanothus fendleri"
"54366","Limestone","Thlaspi montanum"
"54368","Limestone","Pennellia longifolia"
"54371","Limestone","Cirsium wheeleri"
"54375","Limestone","Hymenopappus mexicanus"
"54378","Limestone","Cologania angustifolia"
"54381","Limestone","Medicago lupulina"
"54393","Limestone","Schizachyrium scoparium"
"54398","Limestone","Potentilla crinita"
"54399","Limestone","Houstonia wrightii"
"54400","Limestone","Saxifraga rhomboidea"
"54402","Limestone","Unidentified species"
"54409","Limestone","Draba asprella"
"54410","Limestone","Drymaria leptophylla"
"54411","Limestone","Commelina dianthifolia"
"54413","Limestone","Heterotheca villosa"
"54419","Limestone","Packera neomexicana"
"54428","Limestone","Erigeron divergens"
"54430","Limestone","Ipomoea plummerae"
"54431","Limestone","Cyperus fendlerianus"
"54433","Limestone","Geranium caespitosum"
"54434","Limestone","Vicia americana"
"54436","Limestone","Lupinus argenteus"
"54439","Limestone","Astragalus tephrodes"
"54445","Limestone","Plantago patagonica"
"54447","Limestone","Penstemon virgatus"
"54458","Limestone","Blepharoneuron tricholepis"
"54459","Limestone","Gilia aggregata"
"54461","Limestone","Thalictrum fendleri"
"54464","Limestone","Verbascum thapsus"
"54465","Limestone","Erigeron NA"
"54472","Limestone","Lithospermum multiflorum"
"54493","Limestone","Pedicularis centranthera"
"54514","Limestone","Polygonum douglasii"
"54526","Limestone","Echeandia flavescens"
"54530","Limestone","Pseudognaphalium macounii"
"54535","Limestone","Artemisia ludoviciana"
"54546","Limestone","Heliomeris multiflora"
"54551","Limestone","Euphorbia brachycera"
"54571","Limestone","Chondrosum gracile"
"54574","Limestone","Muhlenbergia ramulosa"
"54591","Limestone","Hesperidanthus linearifolius"
"54595","Limestone","Tradescantia pinetorum"
"54603","Limestone","Taraxacum campylodes"
"54605","Limestone","Erigeron speciosus"
"54606","Limestone","Achillea millefolium"
"54613","Limestone","Hymenoxys bigelovii"
"54625","Limestone","Oxytropis lambertii"
"54639","Limestone","Piptochaetium pringlei"
"54646","Limestone","Poa pratensis"
"54703","Limestone","Chenopodium vulvaria"
"54709","Limestone","Silene laciniata"
"54711","Limestone","Arenaria lanuginosa"
"54718","Limestone","Symphyotrichum falcatum"
"54726","Limestone","Erigeron formosissimus"
"54790","Limestone","Gayophytum racemosum"
"54806","Limestone","Rumex acetosella"
"54954","Limestone","Panicum bulbosum"
"54997","Limestone","Euphorbia serpyllifolia"
"55007","Limestone","Linum australe"
"55008","Limestone","Oenothera laciniata"
"55031","Limestone","Agrostis scabra"
"55032","Limestone","Aristida arizonica"
"55069","Limestone","Tragopogon dubius"
"55072","Limestone","Amauriopsis dissecta"
"55106","Limestone","Bromus tectorum"
"55120","Limestone","Chenopodium incisum"
"55123","Limestone","Phacelia heterophylla"
"55313","Limestone","Erigeron tracyi"
"55339","Limestone","Portulaca oleracea"
"55438","Limestone","Oxalis caerulea"
"62194","TallTimbers","Liquidambar styraciflua"
"62195","TallTimbers","Toxicodendron radicans"
"62196","TallTimbers","Asclepias tuberosa"
"62197","TallTimbers","Ilex opaca"
"62198","TallTimbers","Ilex vomitoria"
"62199","TallTimbers","Asplenium platyneuron"
"62200","TallTimbers","Campsis radicans"
"62201","TallTimbers","Vernonia gigantea"
"62202","TallTimbers","Elephantopus elatus"
"62203","TallTimbers","Silphium asteriscus"
"62204","TallTimbers","Solidago odora"
"62205","TallTimbers","Cornus florida"
"62206","TallTimbers","Nyssa sylvatica"
"62207","TallTimbers","Carex floridana"
"62208","TallTimbers","Diospyros virginiana"
"62209","TallTimbers","Tragia urens"
"62210","TallTimbers","Cnidoscolus urens"
"62211","TallTimbers","Quercus nigra"
"62212","TallTimbers","Quercus phellos"
"62213","TallTimbers","Quercus virginiana"
"62214","TallTimbers","Quercus falcata"
"62215","TallTimbers","Quercus hemisphaerica"
"62216","TallTimbers","Quercus stellata"
"62217","TallTimbers","Quercus michauxii"
"62218","TallTimbers","Gelsemium sempervirens"
"62219","TallTimbers","Gentiana villosa"
"62220","TallTimbers","Carya alba"
"62221","TallTimbers","Carya cordiformis"
"62222","TallTimbers","Carya glabra"
"62223","TallTimbers","Callicarpa americana"
"62224","TallTimbers","Sassafras albidum"
"62225","TallTimbers","Clitoria mariana"
"62226","TallTimbers","Desmodium glabellum"
"62227","TallTimbers","Erythrina herbacea"
"62228","TallTimbers","Magnolia grandiflora"
"62229","TallTimbers","Aureolaria flava"
"62230","TallTimbers","Pinus taeda"
"62231","TallTimbers","Pinus echinata"
"62232","TallTimbers","Chasmanthium laxum"
"62233","TallTimbers","Panicum aciculare"
"62234","TallTimbers","Panicum commutatum"
"62235","TallTimbers","Panicum ovale"
"62236","TallTimbers","Saccharum brevibarbe"
"62237","TallTimbers","Pleopeltis polypodioides"
"62238","TallTimbers","Prunus serotina"
"62239","TallTimbers","Malus angustifolia"
"62240","TallTimbers","Mitchella repens"
"62241","TallTimbers","Acer rubrum"
"62242","TallTimbers","Smilax bona-nox"
"62243","TallTimbers","Smilax tamnoides"
"62244","TallTimbers","Smilax glauca"
"62245","TallTimbers","Smilax maritima"
"62246","TallTimbers","Vitis rotundifolia"
"62247","TallTimbers","Ampelopsis arborea"
"62248","TallTimbers","Parthenocissus quinquefolia"
"62250","TallTimbers","Rhus copallinum"
"62252","TallTimbers","Asimina parviflora"
"62254","TallTimbers","Aristolochia serpentaria"
"62255","TallTimbers","Celtis laevigata"
"62256","TallTimbers","Eupatorium hyssopifolium"
"62260","TallTimbers","Scleria ciliata"
"62262","TallTimbers","Vaccinium stamineum"
"62272","TallTimbers","Hypericum hypericoides"
"62277","TallTimbers","Desmodium laevigatum"
"62278","TallTimbers","Desmodium paniculatum"
"62279","TallTimbers","Chamaecrista nictitans"
"62281","TallTimbers","Desmodium perplexum"
"62282","TallTimbers","Galactia regularis"
"62283","TallTimbers","Rhynchosia difformis"
"62284","TallTimbers","Tephrosia spicata"
"62286","TallTimbers","Morella cerifera"
"62290","TallTimbers","Saccharum alopecuroides"
"62291","TallTimbers","Andropogon ternarius"
"62294","TallTimbers","Panicum ravenelii"
"62295","TallTimbers","Eragrostis spectabilis"
"62296","TallTimbers","Oplismenus hirtellus"
"62297","TallTimbers","Panicum anceps"
"62298","TallTimbers","Sporobolus clandestinus"
"62301","TallTimbers","Prunus caroliniana"
"62303","TallTimbers","Rubus trivialis"
"62304","TallTimbers","Galium bermudense"
"62305","TallTimbers","Galium pilosum"
"62306","TallTimbers","Galium uniflorum"
"62313","TallTimbers","Physalis arenicola"
"62318","TallTimbers","Asclepias variegata"
"62325","TallTimbers","Scleria oligantha"
"62327","TallTimbers","Vaccinium arboreum"
"62328","TallTimbers","Vaccinium elliottii"
"62348","TallTimbers","Sorghastrum elliottii"
"62362","TallTimbers","Sanicula canadensis"
"62367","TallTimbers","Commelina erecta"
"62368","TallTimbers","Ageratina aromatica"
"62369","TallTimbers","Helianthus hirsutus"
"62370","TallTimbers","Solidago canadensis"
"62372","TallTimbers","Chrysopsis mariana"
"62374","TallTimbers","Eupatorium compositifolium"
"62376","TallTimbers","Helianthus angustifolius"
"62377","TallTimbers","Smallanthus uvedalia"
