"","Site","GenusSpecies"
"62378","TallTimbers","Solidago nemoralis"
"62380","TallTimbers","Ambrosia artemisiifolia"
"62381","TallTimbers","Brickellia eupatorioides"
"62382","TallTimbers","Conoclinium coelestinum"
"62383","TallTimbers","Elephantopus carolinianus"
"62384","TallTimbers","Hieracium gronovii"
"62385","TallTimbers","Lactuca graminifolia"
"62386","TallTimbers","Ipomoea pandurata"
"62391","TallTimbers","Cyperus filiculmis"
"62392","TallTimbers","Cyperus plukenetii"
"62393","TallTimbers","Cyperus retrorsus"
"62394","TallTimbers","Rhynchospora harveyi"
"62396","TallTimbers","Scleria triglomerata"
"62401","TallTimbers","Acalypha gracilens"
"62402","TallTimbers","Euphorbia nutans"
"62403","TallTimbers","Ditrysinia fruticosa"
"62410","TallTimbers","Hypoxis sessilis"
"62417","TallTimbers","Desmodium rigidum"
"62420","TallTimbers","Lespedeza angustifolia"
"62421","TallTimbers","Lespedeza procumbens"
"62424","TallTimbers","Crotalaria spectabilis"
"62425","TallTimbers","Desmodium ciliare"
"62426","TallTimbers","Desmodium fernaldii"
"62427","TallTimbers","Desmodium floridanum"
"62428","TallTimbers","Desmodium marilandicum"
"62430","TallTimbers","Lespedeza repens"
"62431","TallTimbers","Lespedeza stuevei"
"62432","TallTimbers","Lespedeza virginica"
"62435","TallTimbers","Botrychium dissectum"
"62437","TallTimbers","Oxalis dillenii"
"62438","TallTimbers","Passiflora edulis"
"62442","TallTimbers","Andropogon glomeratus"
"62443","TallTimbers","Andropogon gyrans"
"62444","TallTimbers","Andropogon virginicus"
"62445","TallTimbers","Aristida purpurascens"
"62450","TallTimbers","Tridens flavus"
"62453","TallTimbers","Panicum laxiflorum"
"62454","TallTimbers","Panicum sphaerocarpon"
"62455","TallTimbers","Digitaria villosa"
"62457","TallTimbers","Gymnopogon ambiguus"
"62458","TallTimbers","Paspalum floridanum"
"62459","TallTimbers","Paspalum setaceum"
"62461","TallTimbers","Setaria corrugata"
"62462","TallTimbers","Setaria pumila"
"62463","TallTimbers","Sorghastrum nutans"
"62465","TallTimbers","Ceanothus americanus"
"62466","TallTimbers","Rubus cuneifolius"
"62467","TallTimbers","Rubus argutus"
"62468","TallTimbers","Rubus flagellaris"
"62470","TallTimbers","Prunus angustifolia"
"62479","TallTimbers","Verbena brasiliensis"
"62482","TallTimbers","Vitis cinerea"
"62486","TallTimbers","Lechea minor"
"62494","TallTimbers","Pityopsis graminifolia"
"62495","TallTimbers","Solidago brachyphylla"
"62497","TallTimbers","Symphyotrichum lateriflorum"
"62498","TallTimbers","Jacquemontia tamnifolia"
"62508","TallTimbers","Croton glandulosus"
"62516","TallTimbers","Trichostema dichotomum"
"62520","TallTimbers","Centrosema virginianum"
"62521","TallTimbers","Chamaecrista fasciculata"
"62573","TallTimbers","Xylorhiza tortifolia"
"62579","TallTimbers","Liatris pilosa"
"62601","TallTimbers","Desmodium lineatum"
"62604","TallTimbers","Mimosa quadrivalvis"
"62614","TallTimbers","Strophostyles umbellata"
"62615","TallTimbers","Stylosanthes biflora"
"62618","TallTimbers","Piriqueta cistoides"
"62632","TallTimbers","Paspalum laeve"
"62637","TallTimbers","Polygala polygama"
"62649","TallTimbers","Gonolobus suberosus"
"62651","TallTimbers","Aralia spinosa"
"62660","TallTimbers","Bidens bipinnata"
"62664","TallTimbers","Fleischmannia incarnata"
"62672","TallTimbers","Symphyotrichum dumosum"
"62678","TallTimbers","Melothria pendula"
"62686","TallTimbers","Monotropa uniflora"
"62690","TallTimbers","Euphorbia pubentissima"
"62692","TallTimbers","Tragia urticifolia"
"62713","TallTimbers","Desmodium nuttallii"
"62717","TallTimbers","Senna obtusifolia"
"62720","TallTimbers","Fraxinus americana"
"62757","TallTimbers","Glandularia canadensis"
"62758","TallTimbers","Viola sororia"
"62762","TallTimbers","Cyperus NA"
"62763","TallTimbers","Ruellia caroliniensis"
"62769","TallTimbers","Asclepias verticillata"
"62770","TallTimbers","Helianthemum carolinianum"
"62818","TallTimbers","Lespedeza hirta"
"62862","TallTimbers","Smilax pumila"
"62870","TallTimbers","Bignonia capreolata"
"62883","TallTimbers","Dioscorea villosa"
"62891","TallTimbers","Quercus alba"
"62917","TallTimbers","Morus rubra"
"62923","TallTimbers","Schizachyrium tenerum"
"62970","TallTimbers","Cuscuta indecora"
"63005","TallTimbers","Crotalaria rotundifolia"
"63032","TallTimbers","Paspalum plicatulum"
"63036","TallTimbers","Panicum oligosanthes"
"63046","TallTimbers","Polygala grandiflora"
"63059","TallTimbers","Asclepias amplexicaulis"
"63077","TallTimbers","Bulbostylis ciliatifolia"
"63081","TallTimbers","Rhynchospora globularis"
"63102","TallTimbers","Dalea pinnata"
"63106","TallTimbers","Desmodium strictum"
"63111","TallTimbers","Hibiscus aculeatus"
"63112","TallTimbers","Habenaria quinqueseta"
"63113","TallTimbers","Buchnera americana"
"63115","TallTimbers","Pinus palustris"
"63122","TallTimbers","Eragrostis refracta"
"63139","TallTimbers","Diodella teres"
"63141","TallTimbers","Houstonia procumbens"
"63181","TallTimbers","Quercus marilandica"
"63251","TallTimbers","Viburnum nudum"
"63255","TallTimbers","Manfreda virginica"
"63269","TallTimbers","Erigeron strigosus"
"63288","TallTimbers","Euphorbia maculata"
"63325","TallTimbers","Agalinis fasciculata"
"63342","TallTimbers","Heteropogon melanocarpus"
"63373","TallTimbers","Lechea pulchella"
"63433","TallTimbers","Paspalum notatum"
"63441","TallTimbers","Panicum dichotomum"
"63447","TallTimbers","Sporobolus junceus"
"63464","TallTimbers","Cirsium horridulum"
"63475","TallTimbers","Verbesina virginica"
"63578","Tiogo","Cochlospermum planchonii"
"63579","Tiogo","Andropogon chinensis"
"63580","Tiogo","Andropogon pseudapricus"
"63581","Tiogo","Loudetia togoensis"
"63582","Tiogo","Schizachyrium exile"
"63583","Tiogo","Andropogon gayanus"
"63584","Tiogo","Ophiuros exaltatus"
"63585","Tiogo","Tripogon minimus"
"63586","Tiogo","Brachiaria villosa"
"63587","Tiogo","Cymbopogon schoenanthus"
"63588","Tiogo","Hackelochloa granularis"
"63589","Tiogo","Microchloa indica"
"63590","Tiogo","Diheteropogon hagerupii"
"63591","Tiogo","Sida spinosa"
"63593","Tiogo","Euclasta condylotricha"
"63596","Tiogo","Pennisetum pedicellatum"
"63600","Tiogo","Oldenlandia corymbosa"
"63601","Tiogo","Lepidagathis anobrya"
"63603","Tiogo","Cucumis metuliferus"
"63604","Tiogo","Scoparia dulcis"
"63611","Tiogo","Andropogon fastigiatus"
"63613","Tiogo","Monechma ciliatum"
"63615","Tiogo","Cyanotis lanata"
"63616","Tiogo","Kalanchoe crenata"
"63617","Tiogo","Curculigo pilosa"
"63623","Tiogo","Polygala arenaria"
"63624","Tiogo","Spermacoce stachydea"
"63625","Tiogo","Crotalaria naragutensis"
"63641","Tiogo","Brachiaria deflexa"
"63642","Tiogo","Digitaria horizontalis"
"63643","Tiogo","Schizachyrium platyphyllum"
"63645","Tiogo","Brachiaria lata"
"63647","Tiogo","Ampelocissus africana"
"63650","Tiogo","Pandiaka angustifolia"
"63651","Tiogo","Achyranthes aspera"
"63652","Tiogo","Chlorophytum stenopetalum"
"63653","Tiogo","Indigofera colutea"
"63654","Tiogo","Wissadula amplissima"
"63656","Tiogo","Biophytum umbraculum"
"63661","Tiogo","Panicum phragmitoides"
"63664","Tiogo","Pennisetum polystachyon"
"63667","Tiogo","Setaria parviflora"
"63673","Tiogo","Spermacoce radiata"
"63674","Tiogo","Siphonochilus aethiopicus"
"63675","Tiogo","Stylochaeton hypogaeus"
"63676","Tiogo","Hoslundia opposita"
"63686","Tiogo","Sporobolus festivus"
"63702","Tiogo","Rhynchosia minima"
"63723","Tiogo","Hyptis spicigera"
"63731","Tiogo","Euphorbia hirta"
"63741","Tiogo","Cissus populnea"
"63745","Tiogo","Aspilia bussei"
"63746","Tiogo","Dioscorea dumetorum"
"63747","Tiogo","Chamaecrista nigricans"
"63767","Tiogo","Blepharis maderaspatensis"
"63808","Tiogo","Commelina NA"
"63812","Tiogo","Tephrosia pedicellata"
"63815","Tiogo","Elionurus elegans"
"63817","Tiogo","Schizachyrium sanguineum"
"63818","Tiogo","Indigofera NA"
"63819","Tiogo","Aspilia rudis"
"63832","Tiogo","Crotalaria NA"
"63847","Tiogo","Hyparrhenia diplandra"
"63850","Tiogo","Chamaecrista mimosoides"
"63852","Tiogo","Zornia glochidiata"
"63863","Tiogo","Sporobolus pectinellus"
"63889","Tiogo","Schizachyrium ruderale"
"63907","Tiogo","Peristrophe bicalyculata"
"63922","Tiogo","Diheteropogon amplectens"
"63952","Tiogo","Pentanema indicum"
"63967","Tiogo","Crinum ornatum"
"63982","Tiogo","Sorghastrum incompletum"
"63987","Tiogo","Crinum moorei"
"63999","Tiogo","Lantana ukambensis"
"64012","Tiogo","Hibiscus asper"
"64032","Tiogo","Spermacoce ruelliae"
"64035","Tiogo","Scleria racemosa"
"64041","Tiogo","Panicum laetum"
"64044","Tiogo","Hyparrhenia cyanescens"
"64048","Tiogo","Vigna heterophylla"
"64160","Tiogo","Chlorophytum senegalense"
"64162","Tiogo","Phyllanthus amarus"
"64165","Tiogo","Hyparrhenia subplumosa"
"64171","Tiogo","Cochlospermum tinctorium"
"64183","Tiogo","Kohautia tenuis"
"64200","Tiogo","Euphorbia hyssopifolia"
"64244","Tiogo","Chasmopodium caudatum"
"64282","Tiogo","Tacca leontopetaloides"
"64319","Tiogo","Plectranthus gracillimus"
"64331","Tiogo","Elionurus ciliaris"
"64371","Tiogo","Tephrosia bracteolata"
"64517","Tiogo","Triumfetta rhomboidea"
"64528","Tiogo","Setaria barbata"
"64533","Tiogo","Urelytrum muricatum"
"64534","Tiogo","Polygala multiflora"
"64537","Tiogo","Unidentified species"
"64574","Tiogo","Indigofera leprieurii"
"64590","Tiogo","Murdannia nudiflora"
"64634","Tiogo","Sporobolus microprotus"
"64742","Tiogo","Commelina forskaolii"
"64756","Tiogo","Desmodium NA"
"64761","Tiogo","Sida urens"
"64769","Ukulinga","Crabbea hirsuta"
"64770","Ukulinga","Thunbergia atriplicifolia"
"64771","Ukulinga","Stylochiton natalensis"
"64772","Ukulinga","Eriospermum abyssinicum"
"64773","Ukulinga","Commelina africana"
"64774","Ukulinga","Cyanotis speciosa"
"64775","Ukulinga","Tagetes minuta"
"64776","Ukulinga","Erigeron floribundus"
"64777","Ukulinga","Senecio bupleuroides"
"64778","Ukulinga","Senecio coronatus"
"64779","Ukulinga","Erigeron primulifolium"
"64780","Ukulinga","Helichrysum miconiifolium"
"64781","Ukulinga","Gerbera ambigua"
"64782","Ukulinga","Schoenoxiphium sparteum"
"64783","Ukulinga","Tragia meyeriana"
"64784","Ukulinga","Acalypha punctata"
"64785","Ukulinga","Pelargonium alchemilloides"
"64786","Ukulinga","Aristea abyssinica"
"64787","Ukulinga","Leonotis ocymifolia"
"64788","Ukulinga","Ocimum obovatum"
"64789","Ukulinga","Indigofera hilaris"
"64790","Ukulinga","Rhynchosia minima"
"64791","Ukulinga","Chamaecrista plumosa"
"64792","Ukulinga","Tephrosia elongata"
"64793","Ukulinga","Tephrosia multijuga"
"64794","Ukulinga","Zornia capensis"
"64795","Ukulinga","Hibiscus pusillus"
"64796","Ukulinga","Cymbopogon nardus"
"64797","Ukulinga","Eragrostis curvula"
"64798","Ukulinga","Setaria pumila"
"64799","Ukulinga","Eragrostis capensis"
"64800","Ukulinga","Cheilanthes viridis"
"64801","Ukulinga","Spermacoce natalensis"
"64802","Ukulinga","Pentanisia angustifolia"
"64803","Ukulinga","Albuca NA"
"64804","Ukulinga","Sebaea secloides"
"64806","Ukulinga","Ruellia baurii"
"64808","Ukulinga","Chaetacanthus burchellii"
"64809","Ukulinga","Peucedanum natalense"
"64813","Ukulinga","Berkheya setifera"
"64814","Ukulinga","Senecio rhomboideus"
"64817","Ukulinga","Fimbristylis ovata"
"64820","Ukulinga","Hypoxis argentea"
"64821","Ukulinga","Hypoxis rigidula"
"64822","Ukulinga","Hypoxis hemerocallidea"
"64825","Ukulinga","Rhynchosia totta"
"64830","Ukulinga","Eulophia ensata"
"64831","Ukulinga","Buchnera simplex"
"64832","Ukulinga","Tristachya leucothrix"
"64833","Ukulinga","Heteropogon contortus"
"64834","Ukulinga","Cymbopogon caesius"
"64835","Ukulinga","Panicum maximum"
"64838","Ukulinga","Aristida junciformis"
"64839","Ukulinga","Polygala hottentotta"
"64841","Ukulinga","Agathisanthemum chlorophyllum"
"64843","Ukulinga","Kohautia amatymbica"
"64844","Ukulinga","Thesium natalense"
"64852","Ukulinga","Cynoglossum hispidum"
"64853","Ukulinga","Cephalaria pungens"
"64854","Ukulinga","Berkheya umbellata"
"64856","Ukulinga","Hilliardiella aristata"
"64860","Ukulinga","Senecio retrorsus"
"64869","Ukulinga","Rhynchosia cooperi"
"64875","Ukulinga","Graderia scabra"
"64876","Ukulinga","Elionurus muticus"
"64877","Ukulinga","Setaria nigrirostris"
"64882","Ukulinga","Setaria sphacelata"
"64883","Ukulinga","Polygala amatymbica"
"64898","Ukulinga","Helichrysum nudifolium"
"64902","Ukulinga","Cyperus mutisii"
"64906","Ukulinga","Hypoxis colchicifolia"
"64908","Ukulinga","Teucrium kraussii"
"64915","Ukulinga","Corchorus asplenifolius"
"64919","Ukulinga","Diheteropogon amplectens"
"64922","Ukulinga","Eragrostis racemosa"
"64925","Ukulinga","Melinis nerviglumis"
"64926","Ukulinga","Brachiaria serrata"
"64938","Ukulinga","Ledebouria ovatifolia"
"64942","Ukulinga","Aster bakerianus"
"64951","Ukulinga","Aeschynomene brevifolia"
"64954","Ukulinga","Eriosema cordatum"
"64960","Ukulinga","Themeda triandra"
"64964","Ukulinga","Microchloa caffra"
"64966","Ukulinga","Eustachys paspaloides"
"64967","Ukulinga","Hyparrhenia hirta"
"64972","Ukulinga","Gnidia caffra"
"64973","Ukulinga","Aloe maculata"
"64975","Ukulinga","Bulbostylis NA"
"64976","Ukulinga","Tephrosia NA"
"65003","Ukulinga","Panicum aequinerve"
"65023","Ukulinga","Kalanchoe rotundifolia"
"65034","Ukulinga","Acacia nilotica"
"65035","Ukulinga","Lotononis calycina"
"65039","Ukulinga","Oxalis corniculata"
"65040","Ukulinga","Passiflora suberosa"
"65041","Ukulinga","Phyllanthus glaucophyllus"
"65054","Ukulinga","Bidens bipinnata"
"65076","Ukulinga","Lantana rugosa"
"65078","Ukulinga","Canthium NA"
"65079","Ukulinga","Panicum NA"
"70681","Yenisei","Dicranum undulatum"
"70683","Yenisei","Vaccinium vitis-idaea"
"70684","Yenisei","Vaccinium myrtillus"
"70685","Yenisei","Pleurozium schreberi"
"70687","Yenisei","Lycopodium complanatum"
"70688","Yenisei","Pinus sibirica"
"70689","Yenisei","Polytrichum juniperinum"
"70690","Yenisei","Cetraria islandica"
"70691","Yenisei","Cladonia NA"
"70699","Yenisei","Ledum palustre"
"70702","Yenisei","Pinus sylvestris"
"70719","Yenisei","Calamagrostis obtusata"
"70740","Yenisei","Maianthemum bifolium"
"70741","Yenisei","Betula pubescens"
"70742","Yenisei","Solidago virgaurea"
"70743","Yenisei","Equisetum sylvaticum"
"70747","Yenisei","Epilobium angustifolium"
"70748","Yenisei","Abies sibirica"
"70750","Yenisei","Polytrichastrum formosum"
"70751","Yenisei","Rosa acicularis"
"70752","Yenisei","Sorbus aucuparia"
"70753","Yenisei","Populus tremula"
"70754","Yenisei","Carex NA"
"70766","Yenisei","Peltigera aphthosa"
"70773","Yenisei","Vaccinium uliginosum"
"70774","Yenisei","Empetrum nigrum"
"70786","Yenisei","Carex pediformis"
"70807","Yenisei","Arctous alpina"
"70809","Yenisei","Polytrichum piliferum"
"70817","Yenisei","Polygonum NA"
"1","Morton","Ostrya virginiana"
"2","Morton","Hackelia virginiana"
"359","Morton","Cardamine concatenata"
"435","Morton","Ageratina altissima"
"510","Morton","Carex pensylvanica"
"610","Morton","Erythronium albidum"
"710","Morton","Sanguinaria canadensis"
"810","Morton","Prunus serotina"
"910","Morton","Ulmus americana"
"1010","Morton","Parthenocissus quinquefolia"
"1110","Morton","Allium canadense"
"1210","Morton","Maianthemum racemosum"
"136","Morton","Impatiens pallida"
"1410","Morton","Symphyotrichum shortii"
"1510","Morton","Circaea lutetiana"
"1610","Morton","Oxalis stricta"
"1710","Morton","Agrimonia gryposepala"
"1810","Morton","Geum canadense"
"198","Morton","Rubus occidentalis"
"2010","Morton","Toxicodendron radicans"
"2110","Morton","Arisaema triphyllum"
"2410","Morton","Vitis vulpina"
"2610","Morton","Ulmus rubra"
"289","Morton","Hydrophyllum virginianum"
"2938","Morton","Symphyotrichum drummondii"
"3034","Morton","Symphyotrichum lateriflorum"
"3167","Morton","Carex rosea"
"3228","Morton","Carex blanda"
"3355","Morton","Geranium maculatum"
"3420","Morton","Polemonium reptans"
"3523","Morton","Rubus allegheniensis"
"3627","Morton","Tilia americana"
"3757","Morton","Trillium recurvatum"
"3818","Morton","Campanula americana"
"3941","Morton","Polygonum virginianum"
"4110","Morton","Menispermum canadense"
"4210","Morton","Floerkea proserpinacoides"
"436","Morton","Moehringia lateriflora"
"4410","Morton","Solidago ulmifolia"
"4810","Morton","Polypodium virginianum"
"498","Morton","Potentilla simplex"
"521","Morton","Fraxinus americana"
"531","Morton","Acer saccharum"
"541","Morton","Podophyllum peltatum"
"551","Morton","Celastrus scandens"
"561","Morton","Solidago canadensis"
"601","Morton","Dodecatheon meadia"
"621","Morton","Arisaema dracontium"
"701","Morton","Galium triflorum"
"74","Morton","Ranunculus abortivus"
"75","Morton","Euthamia graminifolia"
"781","Morton","Galium asprellum"
"841","Morton","Prunus virginiana"
"851","Morton","Lactuca canadensis"
"861","Morton","Hystrix patula"
"871","Morton","Potentilla norvegica"
"921","Morton","Solidago flexicaulis"
"951","Morton","Uvularia sessilifolia"
"961","Morton","Uvularia grandiflora"
"971","Morton","Impatiens capensis"
"991","Morton","Anemonella thalictroides"
"1021","Morton","Lonicera prolifera"
"1101","Morton","Claytonia virginica"
"1111","Morton","Fraxinus pennsylvanica"
"1121","Morton","Cystopteris bulbifera"
"1102","Okmulgee","Rhus aromatica"
"2102","Okmulgee","Toxicodendron radicans"
"3293","Okmulgee","Solidago ulmifolia"
"4101","Okmulgee","Antennaria parlinii"
"5102","Okmulgee","Helianthus hirsutus"
"6102","Okmulgee","Quercus stellata"
"7102","Okmulgee","Quercus marilandica"
"8102","Okmulgee","Carya texana"
"957","Okmulgee","Monarda russeliana"
"1014","Okmulgee","Chamaecrista fasciculata"
"1113","Okmulgee","Panicum linearifolium"
"1212","Okmulgee","Ulmus alata"
"1311","Okmulgee","Parthenocissus quinquefolia"
"1413","Okmulgee","Allium NA"
"1513","Okmulgee","Avena NA"
"1613","Okmulgee","Dichanthelium NA"
"1712","Okmulgee","Unidentified species"
"1812","Okmulgee","Ptilimnium nuttallii"
"1911","Okmulgee","Sanicula canadensis"
"2013","Okmulgee","Symphoricarpos orbiculatus"
"2113","Okmulgee","Ambrosia psilostachya"
"2213","Okmulgee","Symphyotrichum oolentangiense"
"2312","Okmulgee","Scutellaria parvula"
"2411","Okmulgee","Lespedeza violacea"
"2511","Okmulgee","Andropogon gerardii"
"2611","Okmulgee","Carex NA"
"2711","Okmulgee","Vernonia NA"
"2810","Okmulgee","Symphyotrichum patens"
"2988","Okmulgee","Erigeron tenuis"
"30100","Okmulgee","Hypericum hypericoides"
"31100","Okmulgee","Lespedeza repens"
"3294","Okmulgee","Galactia regularis"
"3356","Okmulgee","Oxalis violacea"
"3421","Okmulgee","Schizachyrium scoparium"
"3524","Okmulgee","Panicum acuminatum"
"36100","Okmulgee","Coelorachis cylindrica"
"37100","Okmulgee","Rosa NA"
"3880","Okmulgee","Tradescantia NA"
"39100","Okmulgee","Chaetopappa asteroides"
"4069","Okmulgee","Lespedeza virginica"
"4111","Okmulgee","Asteraceae NA"
"4211","Okmulgee","Rhus copallinum"
"4310","Okmulgee","Lactuca canadensis"
"4412","Okmulgee","Quercus velutina"
"4512","Okmulgee","Amphicarpaea bracteata"
"4611","Okmulgee","Tridens flavus"
"4712","Okmulgee","Viola sororia"
"4812","Okmulgee","Vitis NA"
"4911","Okmulgee","Rhus glabra"
"5012","Okmulgee","Celtis occidentalis"
"5112","Okmulgee","Erigeron canadensis"
"5212","Okmulgee","Vaccinium arboreum"
"5312","Okmulgee","Danthonia spicata"
"5412","Okmulgee","Fabaceae NA"
"5512","Okmulgee","Prunus mexicana"
"5612","Okmulgee","Coreopsis NA"
"5712","Okmulgee","Lechea tenuifolia"
"5810","Okmulgee","Erigeron strigosus"
"5910","Okmulgee","Solidago NA"
"6010","Okmulgee","Verbesina virginica"
"6110","Okmulgee","Galium circaezans"
"6210","Okmulgee","Rubus NA"
"6310","Okmulgee","Hieracium gronovii"
"6410","Okmulgee","Andropogon virginicus"
"6610","Okmulgee","Paronychia fastigiata"
"6710","Okmulgee","Erechtites hieraciifolia"
"7411","Okmulgee","Sideroxylon lanuginosum"
"7612","Okmulgee","Bromus NA"
"7812","Okmulgee","Muhlenbergia NA"
"8512","Okmulgee","Chasmanthium latifolium"
"8912","Okmulgee","Smilax NA"
"9212","Okmulgee","Diospyros virginiana"
"9312","Okmulgee","Securigera varia"
"958","Okmulgee","Mimosa quadrivalvis"
"973","Okmulgee","Elymus canadensis"
"983","Okmulgee","Solanum carolinense"
"1015","Okmulgee","Sporobolus NA"
"1114","Okmulgee","Packera obovata"
"1161","Okmulgee","Oxalis stricta"
"1231","Okmulgee","Cirsium altissimum"
"1241","Okmulgee","Ruellia humilis"
"1251","Okmulgee","Cocculus carolinus"
"1321","Okmulgee","Viola NA"
"1331","Okmulgee","Prunus serotina"
"1341","Okmulgee","Baptisia bracteata"
"1351","Okmulgee","Elymus virginicus"
"1382","Okmulgee","Quercus rubra"
"1422","Okmulgee","Elephantopus carolinianus"
"1482","Okmulgee","Gleditsia triacanthos"
"1592","Okmulgee","Verbena NA"
"1651","Okmulgee","Lespedeza juncea"
"1721","Okmulgee","Paniceae NA"
"1841","Okmulgee","Andropogon NA"
"1871","Okmulgee","Celtis laevigata"
"1921","Okmulgee","Gnaphalium purpureum"
"1961","Okmulgee","Woodsia obtusa"
"2002","Okmulgee","Rudbeckia hirta"
"2082","Okmulgee","Eragrostis NA"
"2103","Okmulgee","Gymnopogon ambiguus"
"2122","Okmulgee","Linum medium"
"2132","Okmulgee","Sabatia angularis"
"2142","Okmulgee","Viburnum rufidulum"
"2152","Okmulgee","Boechera canadensis"
"2162","Okmulgee","Ambrosia trifida"
"2172","Okmulgee","Phytolacca americana"
"2182","Okmulgee","Solanum ptychanthum"
"2192","Okmulgee","Ampelopsis arborea"
"2222","Okmulgee","Ilex decidua"
"2242","Okmulgee","Desmodium laevigatum"
"2282","Okmulgee","Matelea NA"
"2292","Okmulgee","Galium pilosum"
"2322","Okmulgee","Bouteloua curtipendula"
"30411","Okmulgee","Teucrium canadense"
"30611","Okmulgee","Fraxinus americana"
"30711","Okmulgee","Sphenopholis obtusata"
"30811","Okmulgee","Cephalanthus occidentalis"
"31011","Okmulgee","Polygonum NA"
"31911","Okmulgee","Acer saccharinum"
"32311","Okmulgee","Crataegus viridis"
"32511","Okmulgee","Cercis canadensis"
"33510","Okmulgee","Symphyotrichum laeve"
"34310","Okmulgee","Tephrosia virginiana"
"38110","Okmulgee","Hypericum punctatum"
"38810","Okmulgee","Echinacea pallida"
"38911","Okmulgee","Crataegus crus-galli"
"39211","Okmulgee","Penstemon NA"
"39511","Okmulgee","Platanus occidentalis"
"39811","Okmulgee","Asclepias verticillata"
"4813","Okmulgee","Pseudognaphalium obtusifolium"
"4841","Okmulgee","Asplenium platyneuron"
"4851","Okmulgee","Campsis radicans"
"4861","Okmulgee","Triodanis perfoliata"
"4941","Okmulgee","Passiflora lutea"
"5113","Okmulgee","Agrostis NA"
"5213","Okmulgee","Polygonum tenue"
"5231","Okmulgee","Phemeranthus NA"
"5271","Okmulgee","Panicum clandestinum"
"5551","Okmulgee","Gymnocladus dioica"
"5912","Okmulgee","Clitoria mariana"
"5921","Okmulgee","Lespedeza procumbens"
"6141","Okmulgee","Liatris NA"
"6161","Okmulgee","Erigeron NA"
"6201","Okmulgee","Quercus muehlenbergii"
"1104","KrugerSatara","Asystasia mysorensis"
"2104","KrugerSatara","Justicia protracta"
"3495","KrugerSatara","Trianthema salsoloides"
"4103","KrugerSatara","Heliotropium steudneri"
"5104","KrugerSatara","Cleome monophylla"
"6104","KrugerSatara","Commelina erecta"
"7103","KrugerSatara","Vernonia fastigiata"
"8103","KrugerSatara","Ipomoea biflora"
"959","KrugerSatara","Merremia palmata"
"1016","KrugerSatara","Evolvulus alsinoides"
"1115","KrugerSatara","Seddera suffruticosa"
